image_id,xml_name,xml_basename,rank,similarity,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,4,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
6,D02_20260420073459_000976.jpg,D02_20260420073459_000976.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,1,0.478261,diyas/batch_001/frame_000977s.jpg,frame_000977s.jpg,diyas,batch_001
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
7,D02_20260420073459_000977.jpg,D02_20260420073459_000977.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,1,0.478261,diyas/batch_001/frame_000978s.jpg,frame_000978s.jpg,diyas,batch_001
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
8,D02_20260420073459_000978.jpg,D02_20260420073459_000978.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,1,0.478261,diyas/batch_001/frame_000979s.jpg,frame_000979s.jpg,diyas,batch_001
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
9,D02_20260420073459_000979.jpg,D02_20260420073459_000979.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,1,0.478261,diyas/batch_001/frame_000980s.jpg,frame_000980s.jpg,diyas,batch_001
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,3,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
10,D02_20260420073459_000980.jpg,D02_20260420073459_000980.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,1,0.478261,diyas/batch_001/frame_000981s.jpg,frame_000981s.jpg,diyas,batch_001
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,3,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
11,D02_20260420073459_000981.jpg,D02_20260420073459_000981.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,1,0.478261,diyas/batch_001/frame_000982s.jpg,frame_000982s.jpg,diyas,batch_001
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,3,0.478261,diyas/batch_003/frame_003452s.jpg,frame_003452s.jpg,diyas,batch_003
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
12,D02_20260420073459_000982.jpg,D02_20260420073459_000982.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,1,0.478261,diyas/batch_001/frame_000983s.jpg,frame_000983s.jpg,diyas,batch_001
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,3,0.478261,diyas/batch_003/frame_003453s.jpg,frame_003453s.jpg,diyas,batch_003
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
13,D02_20260420073459_000983.jpg,D02_20260420073459_000983.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,1,0.478261,diyas/batch_001/frame_000984s.jpg,frame_000984s.jpg,diyas,batch_001
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,3,0.478261,diyas/batch_003/frame_003454s.jpg,frame_003454s.jpg,diyas,batch_003
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
14,D02_20260420073459_000984.jpg,D02_20260420073459_000984.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,1,0.478261,diyas/batch_001/frame_000985s.jpg,frame_000985s.jpg,diyas,batch_001
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,3,0.478261,diyas/batch_003/frame_003455s.jpg,frame_003455s.jpg,diyas,batch_003
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
15,D02_20260420073459_000985.jpg,D02_20260420073459_000985.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,1,0.478261,diyas/batch_001/frame_000986s.jpg,frame_000986s.jpg,diyas,batch_001
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,3,0.478261,diyas/batch_003/frame_003456s.jpg,frame_003456s.jpg,diyas,batch_003
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
16,D02_20260420073459_000986.jpg,D02_20260420073459_000986.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,1,0.478261,diyas/batch_001/frame_000987s.jpg,frame_000987s.jpg,diyas,batch_001
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,4,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
17,D02_20260420073459_000987.jpg,D02_20260420073459_000987.jpg,5,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,1,0.478261,diyas/batch_001/frame_000988s.jpg,frame_000988s.jpg,diyas,batch_001
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,3,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
18,D02_20260420073459_000988.jpg,D02_20260420073459_000988.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,1,0.478261,diyas/batch_001/frame_000989s.jpg,frame_000989s.jpg,diyas,batch_001
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,3,0.478261,diyas/batch_003/frame_003458s.jpg,frame_003458s.jpg,diyas,batch_003
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
19,D02_20260420073459_000989.jpg,D02_20260420073459_000989.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,1,0.478261,diyas/batch_001/frame_000990s.jpg,frame_000990s.jpg,diyas,batch_001
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,3,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,4,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
20,D02_20260420073459_000990.jpg,D02_20260420073459_000990.jpg,5,0.478261,diyas/batch_004/frame_004599s.jpg,frame_004599s.jpg,diyas,batch_004
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,1,0.478261,diyas/batch_001/frame_000991s.jpg,frame_000991s.jpg,diyas,batch_001
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,3,0.478261,diyas/batch_003/frame_003451s.jpg,frame_003451s.jpg,diyas,batch_003
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
21,D02_20260420073459_000991.jpg,D02_20260420073459_000991.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,1,0.478261,diyas/batch_001/frame_000992s.jpg,frame_000992s.jpg,diyas,batch_001
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,3,0.478261,diyas/batch_003/frame_003452s.jpg,frame_003452s.jpg,diyas,batch_003
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
22,D02_20260420073459_000992.jpg,D02_20260420073459_000992.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,1,0.478261,diyas/batch_001/frame_000993s.jpg,frame_000993s.jpg,diyas,batch_001
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,3,0.478261,diyas/batch_003/frame_003453s.jpg,frame_003453s.jpg,diyas,batch_003
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
23,D02_20260420073459_000993.jpg,D02_20260420073459_000993.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,1,0.478261,diyas/batch_001/frame_000994s.jpg,frame_000994s.jpg,diyas,batch_001
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,3,0.478261,diyas/batch_003/frame_003454s.jpg,frame_003454s.jpg,diyas,batch_003
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
24,D02_20260420073459_000994.jpg,D02_20260420073459_000994.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,1,0.478261,diyas/batch_001/frame_000995s.jpg,frame_000995s.jpg,diyas,batch_001
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,3,0.478261,diyas/batch_003/frame_003455s.jpg,frame_003455s.jpg,diyas,batch_003
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
25,D02_20260420073459_000995.jpg,D02_20260420073459_000995.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,1,0.478261,diyas/batch_001/frame_000996s.jpg,frame_000996s.jpg,diyas,batch_001
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,3,0.478261,diyas/batch_003/frame_003456s.jpg,frame_003456s.jpg,diyas,batch_003
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
26,D02_20260420073459_000996.jpg,D02_20260420073459_000996.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,1,0.478261,diyas/batch_001/frame_000997s.jpg,frame_000997s.jpg,diyas,batch_001
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,2,0.478261,diyas/batch_003/frame_003450s.jpg,frame_003450s.jpg,diyas,batch_003
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,3,0.478261,diyas/batch_003/frame_003457s.jpg,frame_003457s.jpg,diyas,batch_003
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,4,0.478261,diyas/batch_003/frame_003459s.jpg,frame_003459s.jpg,diyas,batch_003
27,D02_20260420073459_000997.jpg,D02_20260420073459_000997.jpg,5,0.478261,diyas/batch_004/frame_004590s.jpg,frame_004590s.jpg,diyas,batch_004
28,D02_20260420073459_000998.jpg,D02_20260420073459_000998.jpg,1,0.478261,diyas/batch_001/frame_000998s.jpg,frame_000998s.jpg,diyas,batch_001
