,coefficient,std_error,z,p_value,ci_low,ci_high
const,0.9331079466459031,0.16734217871940182,5.576047555891644,2.4604469064210144e-08,0.6051233032614105,1.2610925900303958
wait_time,-0.13859273586139453,0.024057649077517125,-5.760859484433798,8.368668896442474e-09,-0.18574486160603135,-0.09144061011675772
packed,1.1027336535116536,0.15150225552144242,7.278661625968872,3.37148139899988e-13,0.805794689113042,1.3996726179102654
is_peak,-0.5172269113296964,0.11106589995418502,-4.656937111598195,3.209484302906743e-06,-0.7349120751504279,-0.299541747508965
